_seq,step,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,response_length_non_aborted/mean,response_length_non_aborted/max,response_length_non_aborted/min,response_length_non_aborted/clip_ratio,response/aborted_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/start_profile,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/adv,timing_s/update_actor,timing_s/dump_rollout_generations,timing_s/step,timing_s/stop_profile,timing_per_token_ms/update_actor,timing_per_token_ms/adv,timing_per_token_ms/gen,perf/total_num_tokens,perf/time_per_step,perf/throughput,timing_s/save_checkpoint
11,11,4357.0,6507.0,2150.0,5081.0,5653.0,5539.5,0.20978231728076935,0.00011668074876070023,0.004043329170599463,1.0759399060589203e-06,0.0,2.083984375,0.03511960708016756,24.332934379577637,27.787109375,146.06646537780762,1e-06,11.0,0.0,4.09375,9.0,-10.0,4.09375,9.0,-10.0,-0.15926912426948547,0.7071067690849304,-0.7071067690849304,-0.15926912426948547,0.7071067690849304,-0.7071067690849304,876.5625,2048.0,317.0,0.125,876.5625,2048.0,317.0,0.125,0.0,508.3125,863.0,350.0,0.0,6.719306111335754e-05,26.839176177978516,33.699161529541016,15.139615058898926,0.125,40.85106852836907,87.38965011201799,6.65035954117775,0.006316030398011208,51.73695511370897,0.07592366635799408,186.71674318611622,5.5246055126190186e-05,1.1674554362692702,0.0001425225741946748,1.4563660794427475,44316.0,186.71674318611622,29.66793392748028,
12,12,3117.0,6729.0,3612.0,4668.0,5119.0,4809.25,0.1828751116991043,-1.2192875146865845e-05,0.0044280142064963,0.00019929740153656894,0.0,2.07421875,0.030586736849925897,24.332934379577637,27.826171875,143.03647327423096,1e-06,12.0,0.0,5.828125,10.0,-10.0,5.828125,10.0,-10.0,0.01306876726448536,0.7071067094802856,-0.7071067094802856,0.01306876726448536,0.7071067094802856,-0.7071067094802856,730.4375,2048.0,286.0,0.0625,730.4375,2048.0,286.0,0.0625,0.0,471.875,841.0,260.0,0.0,6.769970059394836e-05,20.133358001708984,33.57264709472656,8.311347961425781,0.125,40.36132664978504,84.07456557638943,6.507721573114395,0.003474244847893715,50.85124667361379,0.08800888992846012,181.8979092668742,5.5905431509017944e-05,1.321704181359198,9.03011084860871e-05,1.7267616432696604,38474.0,181.8979092668742,26.439281349540078,
13,13,3324.0,7179.0,3855.0,5040.0,5406.0,5249.625,0.1955537348985672,0.0001824558712542057,0.003513098923576763,0.00030046307557540786,0.0,1.9453125,0.033454889838363804,24.332934379577637,28.142578125,142.69046592712402,1e-06,13.0,0.0,6.265625,10.0,-10.0,6.265625,10.0,-10.0,-0.03534596413373947,0.7071067690849304,-0.7071067690849304,-0.03534596413373947,0.7071067690849304,-0.7071067690849304,823.34375,2048.0,256.0,0.0625,823.34375,2048.0,256.0,0.0625,0.0,489.0625,965.0,253.0,0.0,6.219930946826935e-05,22.674238204956055,34.323421478271484,11.374032974243164,0.125,41.28300246037543,118.60506875999272,6.65288214199245,0.003988409414887428,51.38389351405203,0.09120221622288227,218.02587753534317,5.044601857662201e-05,1.2235134298652768,9.496891241963541e-05,1.5668957551286837,41997.0,218.02587753534317,24.07799046307706,
14,14,3215.0,7343.0,4128.0,5448.0,5507.0,5481.375,0.2175537645816803,0.000213713850826025,0.0038927109162614215,-0.0004967276752267935,2.349624082853552e-05,2.11328125,0.03476605891169156,24.332934379577637,28.142578125,143.32496643066406,1e-06,14.0,0.0,3.84375,10.0,-10.0,3.84375,10.0,-10.0,-0.1119677796959877,0.7071067094802856,-0.7071067094802856,-0.1119677796959877,0.7071067094802856,-0.7071067094802856,939.59375,2048.0,358.0,0.15625,939.59375,2048.0,358.0,0.15625,0.0,430.75,965.0,296.0,0.0,6.152689456939697e-05,25.869831085205078,34.909976959228516,8.52840518951416,0.125,41.42327079735696,80.50554540380836,6.613146072253585,0.0034219082444906235,51.724960474297404,0.07754543982446194,180.35286493599415,5.280040204524994e-05,1.179561708382874,7.803489645596733e-05,1.3776988325192725,43851.0,180.35286493599415,30.392503063066385,
15,15,3256.0,7227.0,3971.0,4159.0,5231.0,4950.625,0.20088115334510803,6.506452336907387e-05,0.004048458726174431,0.00017785291024097205,0.0,1.955078125,0.030901849673649104,24.332934379577637,28.142578125,142.8745346069336,1e-06,15.0,0.0,4.984375,10.0,-8.0,4.984375,10.0,-8.0,-0.19437605142593384,0.7071067094802856,-0.7071067094802856,-0.19437605142593384,0.7071067094802856,-0.7071067094802856,840.90625,2048.0,283.0,0.15625,840.90625,2048.0,283.0,0.15625,0.0,396.75,622.0,294.0,0.0,6.151944398880005e-05,22.817495346069336,34.570186614990234,10.03328800201416,0.125,40.868868071585894,73.17508023791015,6.661226397380233,0.005376756191253662,52.25573141686618,0.08759519085288048,173.0585283767432,6.303191184997559e-05,1.319422583433056,0.00013575953014148876,1.5187806336759408,39605.0,173.0585283767432,28.606651440041365,61.280597092583776
16,16,3917.0,7133.0,3216.0,5289.0,5386.0,5343.5,0.20899483561515808,2.5614630430936813e-05,0.004345941124483943,-0.00025997827270884954,0.0,1.91015625,0.033802747985407236,24.332934379577637,28.142578125,146.94013214111328,1e-06,16.0,0.0,4.859375,10.0,-10.0,4.859375,10.0,-10.0,-0.1779525876045227,0.7071067094802856,-0.7071067094802856,-0.1779525876045227,0.7071067094802856,-0.7071067094802856,930.0625,2048.0,344.0,0.125,930.0625,2048.0,344.0,0.125,0.0,405.8125,578.0,302.0,0.0,7.103383541107178e-05,26.18820571899414,34.4394416809082,11.12238597869873,0.125,41.08934785053134,82.41648845933378,6.628683147951961,0.005637768656015396,51.70548961125314,0.0711238868534565,181.9310504924506,0.000134151428937912,1.2095417238526514,0.0001318837993827874,1.3805976698653095,42748.0,181.9310504924506,29.371017127292042,
17,17,3062.0,6898.0,3836.0,5111.0,5275.0,5198.5,0.22111259400844574,0.00010462896898388863,0.0025866021896945313,8.996320326204454e-05,0.0,1.521484375,0.03278223623875298,24.332934379577637,28.142578125,143.43024826049805,1e-06,17.0,0.0,4.078125,10.0,-10.0,4.078125,10.0,-10.0,-0.12294254451990128,0.7071067094802856,-0.7071067094802856,-0.12294254451990128,0.7071067094802856,-0.7071067094802856,917.1875,2048.0,315.0,0.125,917.1875,2048.0,315.0,0.125,0.0,382.4375,487.0,315.0,0.0,6.155110895633698e-05,26.037187576293945,34.12468719482422,8.632866859436035,0.125,40.5730963293463,76.25207476876676,6.600135205313563,0.0032998062670230865,51.84161429665983,0.0746160876005888,175.35082618705928,6.237998604774475e-05,1.2465522337371315,7.934515405941826e-05,1.3823882906080511,41588.0,175.35082618705928,29.646281760055057,
18,18,3558.0,6496.0,2938.0,4528.0,5616.0,4803.75,0.18644633889198303,0.00016785785555839539,0.005061864016170148,4.297553056176184e-05,0.0,2.40234375,0.030707992153261303,24.332934379577637,28.275390625,142.78925323486328,1e-06,18.0,0.0,6.65625,9.0,-10.0,6.65625,9.0,-10.0,0.06011214852333069,0.7071067094802856,-0.7071067094802856,0.06011214852333069,0.7071067094802856,-0.7071067094802856,757.25,2048.0,352.0,0.0625,757.25,2048.0,352.0,0.0625,0.0,443.6875,952.0,317.0,0.0,7.393769919872284e-05,19.632665634155273,34.20183563232422,10.802567481994629,0.125,40.70084650442004,93.64001054503024,6.518798027187586,0.003769194707274437,50.6862836740911,0.08116806671023369,191.63560644723475,5.1569193601608276e-05,1.318924893939399,9.807948756894189e-05,1.6796321601361852,38430.0,191.63560644723475,25.067105685929363,
19,19,3840.0,6504.0,2664.0,4604.0,5165.0,4924.625,0.20184747874736786,6.798421964049339e-05,0.003051081734156469,7.728307735987983e-05,0.0,1.794921875,0.030956476231388065,24.332934379577637,28.275390625,143.29130697250366,1e-06,19.0,0.0,6.1875,9.0,-10.0,6.1875,9.0,-10.0,-0.00322798453271389,0.7071064710617065,-0.7071064710617065,-0.00322798453271389,0.7071064710617065,-0.7071064710617065,821.46875,2048.0,336.0,0.09375,821.46875,2048.0,336.0,0.09375,0.0,409.6875,749.0,273.0,0.0,6.279349327087402e-05,23.145401000976562,34.443572998046875,11.277335166931152,0.125,40.784301448613405,78.17738303542137,6.5831965040415525,0.003411976620554924,51.93413483723998,0.08206784538924694,177.5692739393562,5.69317489862442e-05,1.3182256221854451,8.660498567289195e-05,1.551500796919139,39397.0,177.5692739393562,27.733542469075292,
20,20,3589.0,7108.0,3519.0,4558.0,5200.0,5077.125,0.20861659944057465,0.00011655222624540329,0.0034759793379635084,0.00015319108479161514,0.0,1.81640625,0.03197219950208695,24.332934379577637,28.275390625,143.02110624313354,1e-06,20.0,0.0,4.78125,10.0,-10.0,4.78125,10.0,-10.0,-0.09146666526794434,0.7071067094802856,-0.7071067094802856,-0.09146666526794434,0.7071067094802856,-0.7071067094802856,856.90625,2048.0,343.0,0.1875,856.90625,2048.0,343.0,0.1875,0.0,412.375,727.0,286.0,0.0,6.417185068130493e-05,25.526477813720703,34.434391021728516,11.181488990783691,0.125,40.69058568775654,104.89773681759834,6.600740542635322,0.005930745974183083,51.945636324584484,0.10247856378555298,204.2492652796209,6.824731826782227e-05,1.2789136648345394,0.000146016347199032,1.4839205604374945,40617.0,204.2492652796209,24.857494557198653,71.37478801049292
